n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate
2,8,0.99,0.8745163,0.001231585,0.000205883,1.71E-05,0.999490591,1.43E-05
2,8,0.997,0.96162064,0.000599598,8.55E-06,3.36E-06,0.999837848,1.26E-05
2,8,0.99994,0.999202199,8.33E-05,0,0,0.999996366,2.26E-06
3,8,0.5,7.50E-05,1.44E-05,0.393219054,0.000277116,0.979706517,0.000204364
3,8,0.68,0.006473097,0.000183823,0.268115056,0.00107455,0.986483015,0.000175447
3,8,0.8,0.079206481,0.000731341,0.122192882,0.000822282,0.991058356,0.000118163
3,8,0.9,0.360302752,0.001412856,0.021249238,0.00022153,0.995238493,7.85E-05
3,8,0.95,0.628825784,0.001197192,0.00256196,7.85E-05,0.997492081,4.13E-05
3,8,0.99,0.916324344,0.000817211,8.42E-06,3.73E-06,0.99948593,1.60E-05
3,8,0.997,0.97425625,0.000500231,9.65E-08,2.89E-07,0.99984641,8.92E-06
3,8,0.99994,0.999493236,5.91E-05,0,0,0.999996176,2.01E-06
1,9,0.5,4.40E-06,2.53E-06,0.8202299,0.000250232,0.979459575,0.00048664
1,9,0.68,6.17E-06,2.54E-06,0.781535087,0.000603509,0.986546719,0.000235121
1,9,0.8,5.98E-06,2.36E-06,0.717132579,0.000710747,0.991180677,0.000239192
1,9,0.9,5.63E-05,3.51E-05,0.54568167,0.002241692,0.995128601,0.000123728
1,9,0.95,0.042497184,0.001380107,0.236671609,0.003304802,0.99751164,7.02E-05
1,9,0.99,0.719440008,0.002445465,0.005245233,0.000179895,0.999478585,1.85E-05
1,9,0.997,0.913347647,0.001635575,0.000415655,3.94E-05,0.99983902,1.26E-05
1,9,0.99994,0.998246721,0.000206577,2.57E-07,5.72E-07,0.999996599,1.74E-06
2,9,0.5,5.00E-06,1.94E-06,0.640686908,0.000864968,0.979645645,0.000247364
2,9,0.68,6.71E-06,3.69E-06,0.563022132,0.000585437,0.986508401,0.000165558
2,9,0.8,0.000283005,3.55E-05,0.435098821,0.001008989,0.991084089,6.35E-05
2,9,0.9,0.072744252,0.001358939,0.157156289,0.001699687,0.995219684,5.24E-05
2,9,0.95,0.388095563,0.001667734,0.025871609,0.000526238,0.997466075,3.43E-05
2,9,0.99,0.85874537,0.001029105,0.000263379,2.10E-05,0.999477228,1.77E-05
2,9,0.997,0.956605594,0.000537747,7.10E-06,3.29E-06,0.999841887,8.34E-06
2,9,0.99994,0.999079823,9.11E-05,0,0,0.999996514,1.11E-06
3,9,0.5,1.04E-05,2.56E-06,0.460819629,0.000463468,0.979572662,0.000162921
3,9,0.68,0.000897942,5.75E-05,0.345736424,0.001070247,0.986542774,0.00010865
3,9,0.8,0.033880607,0.000417173,0.180593724,0.001005704,0.991091082,0.000110158
3,9,0.9,0.288479642,0.001122546,0.032437153,0.000282663,0.995214582,6.53E-05
3,9,0.95,0.583023907,0.001327889,0.003846545,9.06E-05,0.997501478,3.99E-05
3,9,0.99,0.905831867,0.000640943,1.42E-05,5.16E-06,0.999475428,2.33E-05
3,9,0.997,0.97098597,0.000537423,3.09E-07,5.90E-07,0.999840703,1.35E-05
3,9,0.99994,0.999428125,7.64E-05,0,0,0.999996175,1.71E-06
1,10,0.5,2.47E-06,8.31E-07,0.838261867,0.000202873,0.979473888,0.000357686
1,10,0.68,3.55E-06,2.02E-06,0.8037389,0.00033999,0.986356193,0.000294335
1,10,0.8,6.64E-06,2.29E-06,0.745900251,0.000861261,0.991009815,0.000188588
1,10,0.9,1.12E-05,6.26E-06,0.591505644,0.001035114,0.995188342,0.000101382
1,10,0.95,0.017006752,0.001034739,0.29464762,0.002691746,0.997493396,5.94E-05
1,10,0.99,0.687100077,0.00280183,0.006386914,0.000307363,0.999481509,1.66E-05
1,10,0.997,0.903262461,0.001104499,0.000481721,4.02E-05,0.999842595,5.82E-06
1,10,0.99994,0.998121991,0.000187918,1.16E-08,3.47E-08,0.999997246,1.38E-06
2,10,0.5,5.54E-06,1.14E-06,0.676392905,0.000280692,0.979500395,0.000277169
2,10,0.68,7.20E-06,2.21E-06,0.607319826,0.001017996,0.986472638,0.00027729
2,10,0.8,3.57E-05,9.01E-06,0.490887585,0.001122815,0.991081778,0.000110225
2,10,0.9,0.03418696,0.001014443,0.210307133,0.002570658,0.995253003,7.09E-05
2,10,0.95,0.326907118,0.001528624,0.034694437,0.000487573,0.997488364,4.14E-05
2,10,0.99,0.842980787,0.001140184,0.000366127,2.46E-05,0.999488632,1.61E-05
2,10,0.997,0.951715394,0.00063553,1.09E-05,4.97E-06,0.999842316,1.06E-05
2,10,0.99994,0.999078646,8.35E-05,0,0,0.999996862,1.76E-06
3,10,0.5,6.56E-06,2.52E-06,0.515011956,0.00180361,0.979721961,0.000189497
3,10,0.68,7.95E-05,1.18E-05,0.410423013,0.000527043,0.986490483,0.000160694
3,10,0.8,0.011160481,0.000370268,0.245609167,0.001091961,0.991072887,7.67E-05
3,10,0.9,0.222676016,0.001508729,0.047106948,0.000580924,0.995176344,5.78E-05
3,10,0.95,0.537570435,0.001438222,0.005545297,0.000107931,0.9974842,4.22E-05
3,10,0.99,0.895646772,0.00095669,1.93E-05,4.35E-06,0.999484811,2.45E-05
3,10,0.997,0.967727894,0.000274506,2.55E-07,3.92E-07,0.99984727,9.65E-06
3,10,0.99994,0.999381057,4.94E-05,0,0,0.999996481,1.72E-06
